1,资金，软件开发人才,本企业需要资金，专业技术性人才，价格面议,技术、资金,2人,张先生,湖北省咸宁市,湖北供应链物流公共信息服务股份有限公司
2,纵向保护功能PCB需求,采用集成纵向过流保护功能的PCB设计，通过独特的模组连接技术，在实现常规电池采集功能的同时，嵌入并联电路保护机制——当某电芯异常引发环流充电风险时，PCB可精准切断1-2A微小故障电流，避免安全风险。,技术,1套,王先生,湖北省潜江市,湖北中欧国际供应链有限公司
3,背部肌肉酸痛智能分区检测与自适应按摩调节系统,检测到人体背部不同部位的肌肉酸痛程度，用于提供给按摩设备设置不同的按摩方式,技术,1套,赵先生,湖北省武汉市,湖北田野上信息科技有限公司
4,道地中药材的粗加工和精深加工技术,公司致力于道地中药材的现代化加工技术研发，现寻求专业的粗加工与精深加工技术解决方案。需求涵盖中药材采收后的初级处理工艺，包括清洗、干燥、切制等环节的标准化操作流程，要求能够最大程度保留药材有效成分，,技术,1套,钱先生,湖北省荆门市,阳新县净星园林绿化养护有限公司
5,花卉苗木病虫害防控技术,针对花卉苗木种植过程中的病虫害防控难题，公司寻求先进的生物防治与智能监测技术。,技术,1套,李先生,湖北省襄阳市,湖北卓霞生态农业有限公司
6,林下养鸡等养殖技术支持,公司寻求林下养鸡等特色养殖领域的技术支持，重点解决生态养殖模式中的关键技术难题。需要具备以下专业能力：林下养殖环境优化技术，包括林地分区规划、鸡舍选址与建设方案，能够有效提升林地利用率；,技术,1套,周先生,湖北省荆州市,湖北左城右乡科技有限公司
7,中药材种植技术支持,寻找中药材种植技术支持专家，为公司转型向中药材产业发展提供专业指导,技术,1套,何先生,湖北省恩施,来凤县乡村投资建设有限责任公司
8,酒窖智能化改造,希望对名人酒窖进行智能化升级改造，开发线上管理系统,技术,1套,郑先生,湖北省天门市,襄阳高龙磷化工有限责任公司
9,中药渣处理、再利用需求,希望通过技术处理，降低药渣处理成本，实现废物再利用,技术,1套,周女士,湖北省随州市,利美纺织集团有限公司
10,铁路信息化系统研发单位人工智能的研发,构建高效数据分析平台，提升数据处理速度与质量；开发智能数据挖掘算法，挖掘用户行为数据，优化产品推荐与个性化服务。,技术,1套,王女士,湖北省黄石市,湖北中欧国际供应链有限公司
11,自动驾驶调度监控后台,"利用通信网络将车端、路端传感器捕获的全部数据传输到服务器,结合驾驶任务在控制系统后台计算中心形成最优路线部署，并通过控制台下发指令到车端控制器，统筹运行。",技术,1套,向女士,湖北省黄冈市,湖北田野上信息科技有限公司
12,智慧园区综合管理系统,通过多模块系统分工细化，实现对于园区设备、建筑等的一体化监控、控制服务，即时化、快速化响应，提升园区的信息化管理水平，实现良好的运维，掌握各系统的实时运行状态及健康状况，故障能够及时维修、提前处理，从而保障园区的长期高效运行。,技术,1套,李女士,湖北省咸宁市,阳新县净星园林绿化养护有限公司
13,智慧农业管理系统和农业大数据平台的对接应用,公司需要实现智慧农业管理系统与农业大数据平台的无缝对接，构建一个完整的农业生产数据闭环系统。该系统需具备实时数据采集、智能分析、精准决策三大核心功能，覆盖从田间管理到市场预测的全产业链应用场景。,技术,1套,杨先生,湖北省荆门市,湖北卓霞生态农业有限公司
14,有机水稻病虫害防治技术,针对有机水稻种植过程中的病虫害防治挑战，寻求创新性的技术解决方案。该方案需符合有机农业标准，摒弃化学农药使用，通过生态调控和生物防治手段实现病虫害的有效管理。,技术,1套,丁先生,湖北省襄阳市,湖北左城右乡科技有限公司
